SVM Forest Segmentation Model - Comprehensive Evaluation Results
================================================================================

1. BASIC INFORMATION
------------------------------
Number of test images: 89
Image size: 256x256 pixels
Model parameters (support vectors): 5,761
Number of support vectors: 823
Number of features: 7
Average inference time: 0.0075 seconds per image

2. SEGMENTATION METRICS
------------------------------
IoU (Intersection over Union):
  Mean IoU: 0.0112 ± 0.1054
  Min IoU: 0.0000
  Max IoU: 1.0000
  Median IoU: 0.0000

Dice Coefficient (F1 Score):
  Mean Dice: 0.0112
  Min Dice: 0.0000
  Max Dice: 1.0000

Pixel Accuracy:
  Mean Pixel Accuracy: 0.9808
  Min Pixel Accuracy: 0.8724
  Max Pixel Accuracy: 1.0000

3. CLASSIFICATION METRICS (Dead Tree Class)
----------------------------------------
Precision: 0.0000
Recall: 0.0000
F1-Score: 0.0000

Confusion Matrix:
  True Positives (TP): 0
  False Positives (FP): 0
  True Negatives (TN): 5,720,776
  False Negatives (FN): 111,928

4. PERFORMANCE CATEGORIES
------------------------------
Excellent (IoU ≥ 0.8): 1 images (1.1%)
Good (0.6 ≤ IoU < 0.8): 0 images (0.0%)
Fair (0.4 ≤ IoU < 0.6): 0 images (0.0%)
Poor (IoU < 0.4): 88 images (98.9%)

5. INDIVIDUAL IMAGE RESULTS
------------------------------
Image	IoU		Dice		Pixel_Acc
--------------------------------------------------
1	0.0000		0.0000		0.9856
2	0.0000		0.0000		0.9931
3	0.0000		0.0000		0.9887
4	0.0000		0.0000		0.9533
5	0.0000		0.0000		0.9952
6	0.0000		0.0000		0.9740
7	0.0000		0.0000		0.9882
8	0.0000		0.0000		0.9874
9	0.0000		0.0000		0.9948
10	0.0000		0.0000		0.9930
11	0.0000		0.0000		0.9547
12	0.0000		0.0000		0.9866
13	0.0000		0.0000		0.9776
14	0.0000		0.0000		0.9906
15	0.0000		0.0000		0.9844
16	0.0000		0.0000		0.9645
17	0.0000		0.0000		0.8923
18	0.0000		0.0000		0.9930
19	0.0000		0.0000		0.9917
20	0.0000		0.0000		0.9792
21	0.0000		0.0000		0.9956
22	0.0000		0.0000		0.9892
23	0.0000		0.0000		0.9926
24	0.0000		0.0000		0.9857
25	0.0000		0.0000		0.9763
26	0.0000		0.0000		0.9803
27	0.0000		0.0000		0.9924
28	0.0000		0.0000		0.9888
29	0.0000		0.0000		0.9730
30	0.0000		0.0000		0.9978
31	0.0000		0.0000		0.9780
32	0.0000		0.0000		0.9848
33	0.0000		0.0000		0.9930
34	0.0000		0.0000		0.9962
35	0.0000		0.0000		0.9814
36	0.0000		0.0000		0.9870
37	0.0000		0.0000		0.9928
38	0.0000		0.0000		0.9888
39	0.0000		0.0000		0.9960
40	0.0000		0.0000		0.9618
41	0.0000		0.0000		0.9968
42	0.0000		0.0000		0.9852
43	0.0000		0.0000		0.9724
44	0.0000		0.0000		0.9961
45	0.0000		0.0000		0.9852
46	0.0000		0.0000		0.9800
47	0.0000		0.0000		0.9879
48	0.0000		0.0000		0.9979
49	1.0000		1.0000		1.0000
50	0.0000		0.0000		0.9908
51	0.0000		0.0000		0.9820
52	0.0000		0.0000		0.9910
53	0.0000		0.0000		0.9917
54	0.0000		0.0000		0.9789
55	0.0000		0.0000		0.9976
56	0.0000		0.0000		0.9834
57	0.0000		0.0000		0.9946
58	0.0000		0.0000		0.9959
59	0.0000		0.0000		0.9779
60	0.0000		0.0000		0.9788
61	0.0000		0.0000		0.9742
62	0.0000		0.0000		0.9904
63	0.0000		0.0000		0.9716
64	0.0000		0.0000		0.9896
65	0.0000		0.0000		0.9779
66	0.0000		0.0000		0.9705
67	0.0000		0.0000		0.9787
68	0.0000		0.0000		0.9583
69	0.0000		0.0000		0.9840
70	0.0000		0.0000		0.9929
71	0.0000		0.0000		0.9750
72	0.0000		0.0000		0.9926
73	0.0000		0.0000		0.9826
74	0.0000		0.0000		0.9986
75	0.0000		0.0000		0.9899
76	0.0000		0.0000		0.8724
77	0.0000		0.0000		0.9900
78	0.0000		0.0000		0.9618
79	0.0000		0.0000		0.9671
80	0.0000		0.0000		0.9373
81	0.0000		0.0000		0.8795
82	0.0000		0.0000		0.9866
83	0.0000		0.0000		0.9725
84	0.0000		0.0000		0.9914
85	0.0000		0.0000		0.9758
86	0.0000		0.0000		0.9921
87	0.0000		0.0000		0.9908
88	0.0000		0.0000		0.9918
89	0.0000		0.0000		0.9923

6. EFFICIENCY ANALYSIS
------------------------------
Model Parameters (Support Vectors): 5,761
Number of Support Vectors: 823
Number of Features: 7
Inference Time: 0.0075 seconds per image
Real-time Performance: ✓ (< 2s requirement)

7. FAILURE ANALYSIS
------------------------------
Worst performing images (lowest IoU):
  1. Image 1: IoU = 0.0000
  2. Image 2: IoU = 0.0000
  3. Image 3: IoU = 0.0000
  4. Image 4: IoU = 0.0000
  5. Image 5: IoU = 0.0000

8. SUMMARY
------------------------------
Overall Performance: Poor
Primary Metric (Mean IoU): 0.0112
Balanced Metric (F1-Score): 0.0000
Efficiency: Satisfactory
