UNet Forest Segmentation Model - Comprehensive Evaluation Results
================================================================================

1. BASIC INFORMATION
------------------------------
Number of test images: 89
Image size: 256x256 pixels
Model parameters: 31,037,633

2. SEGMENTATION METRICS
------------------------------
IoU (Intersection over Union):
  Mean IoU: 0.3939 ± 0.1592
  Min IoU: 0.0000
  Max IoU: 1.0000
  Median IoU: 0.3951

Dice Coefficient (F1 Score):
  Mean Dice: 0.5462
  Min Dice: 0.0000
  Max Dice: 1.0000

Pixel Accuracy:
  Mean Pixel Accuracy: 0.9850
  Min Pixel Accuracy: 0.9039
  Max Pixel Accuracy: 1.0000

3. CLASSIFICATION METRICS (Dead Tree Class)
----------------------------------------
Precision: 0.6293
Recall: 0.5257
F1-Score: 0.5728

Confusion Matrix:
  True Positives (TP): 58,843
  False Positives (FP): 34,669
  True Negatives (TN): 5,686,107
  False Negatives (FN): 53,085

4. PERFORMANCE CATEGORIES
------------------------------
Excellent (IoU ≥ 0.8): 1 images (1.1%)
Good (0.6 ≤ IoU < 0.8): 6 images (6.7%)
Fair (0.4 ≤ IoU < 0.6): 36 images (40.4%)
Poor (IoU < 0.4): 46 images (51.7%)

5. INDIVIDUAL IMAGE RESULTS
------------------------------
Image	IoU		Dice		Pixel_Acc
--------------------------------------------------
1	0.3601		0.5295		0.9869
2	0.4991		0.6659		0.9957
3	0.2149		0.3537		0.9884
4	0.5583		0.7165		0.9713
5	0.3697		0.5398		0.9964
6	0.4168		0.5884		0.9816
7	0.3327		0.4993		0.9896
8	0.3038		0.4661		0.9903
9	0.3698		0.5399		0.9959
10	0.4567		0.6270		0.9951
11	0.6793		0.8090		0.9819
12	0.3499		0.5184		0.9884
13	0.5870		0.7398		0.9874
14	0.2248		0.3671		0.9826
15	0.4847		0.6529		0.9874
16	0.2443		0.3927		0.9717
17	0.5438		0.7045		0.9272
18	0.4446		0.6155		0.9940
19	0.0000		0.0000		0.9917
20	0.5003		0.6669		0.9880
21	0.6566		0.7927		0.9984
22	0.2773		0.4343		0.9915
23	0.1852		0.3125		0.9940
24	0.5254		0.6889		0.9926
25	0.6009		0.7507		0.9879
26	0.3478		0.5161		0.9865
27	0.5236		0.6874		0.9940
28	0.3109		0.4743		0.9839
29	0.3378		0.5050		0.9818
30	0.3465		0.5146		0.9975
31	0.4854		0.6535		0.9823
32	0.2633		0.4169		0.9842
33	0.7485		0.8562		0.9980
34	0.4703		0.6397		0.9969
35	0.0799		0.1479		0.9817
36	0.3075		0.4704		0.9805
37	0.3636		0.5333		0.9952
38	0.3954		0.5667		0.9880
39	0.4185		0.5900		0.9967
40	0.5214		0.6855		0.9794
41	0.2692		0.4242		0.9968
42	0.2846		0.4431		0.9891
43	0.0560		0.1061		0.9733
44	0.3931		0.5644		0.9962
45	0.4919		0.6594		0.9914
46	0.2463		0.3952		0.9745
47	0.2243		0.3664		0.9778
48	0.0000		0.0000		0.9979
49	1.0000		1.0000		1.0000
50	0.5187		0.6831		0.9933
51	0.2919		0.4519		0.9870
52	0.2488		0.3985		0.9928
53	0.5522		0.7115		0.9950
54	0.5159		0.6807		0.9849
55	0.6887		0.8156		0.9990
56	0.2990		0.4604		0.9629
57	0.4711		0.6404		0.9971
58	0.2782		0.4353		0.9908
59	0.4547		0.6251		0.9865
60	0.3203		0.4852		0.9841
61	0.1413		0.2476		0.9773
62	0.4519		0.6225		0.9911
63	0.2663		0.4206		0.9751
64	0.3051		0.4675		0.9814
65	0.3756		0.5461		0.9848
66	0.4395		0.6106		0.9741
67	0.4189		0.5905		0.9874
68	0.2997		0.4612		0.9651
69	0.4577		0.6280		0.9906
70	0.3835		0.5544		0.9948
71	0.3288		0.4949		0.9810
72	0.4027		0.5742		0.9953
73	0.3053		0.4678		0.9873
74	0.6667		0.8000		0.9994
75	0.4833		0.6517		0.9946
76	0.2813		0.4391		0.9039
77	0.4554		0.6258		0.9930
78	0.5061		0.6721		0.9654
79	0.4863		0.6544		0.9760
80	0.5275		0.6907		0.9652
81	0.3951		0.5664		0.9158
82	0.5026		0.6690		0.9913
83	0.4559		0.6263		0.9822
84	0.4729		0.6421		0.9924
85	0.3038		0.4660		0.9702
86	0.1684		0.2883		0.9928
87	0.4215		0.5930		0.9942
88	0.2439		0.3921		0.9920
89	0.4027		0.5742		0.9947

6. EFFICIENCY ANALYSIS
------------------------------
Model Parameters: 31,037,633

7. FAILURE ANALYSIS
------------------------------
Worst performing images (lowest IoU):
  1. Image 19: IoU = 0.0000
  2. Image 48: IoU = 0.0000
  3. Image 43: IoU = 0.0560
  4. Image 35: IoU = 0.0799
  5. Image 61: IoU = 0.1413

8. SUMMARY
------------------------------
Overall Performance: Poor
Primary Metric (Mean IoU): 0.3939
Balanced Metric (F1-Score): 0.5728
