CNN Forest Segmentation Model - Comprehensive Evaluation Results
================================================================================

1. BASIC INFORMATION
------------------------------
Number of test images: 89
Image size: 256x256 pixels
Model parameters: 379,761

2. SEGMENTATION METRICS
------------------------------
IoU (Intersection over Union):
  Mean IoU: 0.3230 ± 0.1445
  Min IoU: 0.0000
  Max IoU: 1.0000
  Median IoU: 0.3140

Dice Coefficient (F1 Score):
  Mean Dice: 0.4717
  Min Dice: 0.0000
  Max Dice: 1.0000

Pixel Accuracy:
  Mean Pixel Accuracy: 0.9832
  Min Pixel Accuracy: 0.8784
  Max Pixel Accuracy: 1.0000

3. CLASSIFICATION METRICS (Dead Tree Class)
----------------------------------------
Precision: 0.5940
Recall: 0.3940
F1-Score: 0.4738

Confusion Matrix:
  True Positives (TP): 44,104
  False Positives (FP): 30,141
  True Negatives (TN): 5,690,635
  False Negatives (FN): 67,824

4. PERFORMANCE CATEGORIES
------------------------------
Excellent (IoU ≥ 0.8): 1 images (1.1%)
Good (0.6 ≤ IoU < 0.8): 2 images (2.2%)
Fair (0.4 ≤ IoU < 0.6): 18 images (20.2%)
Poor (IoU < 0.4): 68 images (76.4%)

5. INDIVIDUAL IMAGE RESULTS
------------------------------
Image	IoU		Dice		Pixel_Acc
--------------------------------------------------
1	0.2857		0.4444		0.9874
2	0.3825		0.5534		0.9941
3	0.2104		0.3476		0.9872
4	0.4383		0.6094		0.9651
5	0.3140		0.4779		0.9960
6	0.3497		0.5182		0.9787
7	0.2195		0.3600		0.9879
8	0.1899		0.3191		0.9893
9	0.3309		0.4972		0.9959
10	0.3801		0.5509		0.9940
11	0.4761		0.6451		0.9694
12	0.3330		0.4997		0.9883
13	0.5297		0.6926		0.9852
14	0.2054		0.3408		0.9896
15	0.4471		0.6179		0.9881
16	0.2508		0.4010		0.9712
17	0.3983		0.5697		0.9142
18	0.4524		0.6230		0.9943
19	0.1464		0.2554		0.9926
20	0.3271		0.4929		0.9820
21	0.5589		0.7171		0.9980
22	0.1971		0.3292		0.9892
23	0.2951		0.4557		0.9948
24	0.4397		0.6108		0.9906
25	0.4407		0.6117		0.9827
26	0.2882		0.4475		0.9832
27	0.3758		0.5463		0.9924
28	0.1881		0.3167		0.9816
29	0.2660		0.4203		0.9790
30	0.3487		0.5171		0.9970
31	0.4017		0.5731		0.9790
32	0.1933		0.3239		0.9832
33	0.7870		0.8808		0.9984
34	0.2000		0.3333		0.9967
35	0.1308		0.2313		0.9799
36	0.2990		0.4604		0.9843
37	0.1934		0.3242		0.9933
38	0.2926		0.4527		0.9868
39	0.2925		0.4526		0.9952
40	0.4141		0.5857		0.9737
41	0.0679		0.1272		0.9962
42	0.2603		0.4130		0.9885
43	0.0000		0.0000		0.9719
44	0.2350		0.3806		0.9953
45	0.4371		0.6083		0.9897
46	0.2268		0.3697		0.9793
47	0.2497		0.3996		0.9826
48	0.1797		0.3047		0.9962
49	1.0000		1.0000		1.0000
50	0.3724		0.5427		0.9917
51	0.2710		0.4265		0.9857
52	0.1669		0.2861		0.9919
53	0.3780		0.5486		0.9928
54	0.4770		0.6459		0.9848
55	0.6619		0.7966		0.9989
56	0.3022		0.4642		0.9690
57	0.4396		0.6107		0.9961
58	0.3333		0.5000		0.9942
59	0.3308		0.4971		0.9840
60	0.2659		0.4201		0.9819
61	0.2429		0.3909		0.9780
62	0.3835		0.5544		0.9903
63	0.1658		0.2844		0.9736
64	0.2932		0.4534		0.9853
65	0.2073		0.3434		0.9805
66	0.3817		0.5526		0.9706
67	0.2929		0.4531		0.9844
68	0.1406		0.2465		0.9617
69	0.4252		0.5967		0.9889
70	0.3686		0.5387		0.9945
71	0.3294		0.4955		0.9802
72	0.3103		0.4737		0.9942
73	0.3180		0.4826		0.9864
74	0.5390		0.7004		0.9989
75	0.3851		0.5561		0.9932
76	0.0648		0.1217		0.8784
77	0.2440		0.3923		0.9904
78	0.4228		0.5943		0.9658
79	0.4625		0.6325		0.9755
80	0.4121		0.5836		0.9559
81	0.2538		0.4049		0.9038
82	0.3176		0.4821		0.9874
83	0.2746		0.4309		0.9775
84	0.3339		0.5007		0.9883
85	0.2457		0.3945		0.9723
86	0.1480		0.2578		0.9917
87	0.3206		0.4855		0.9932
88	0.1951		0.3264		0.9911
89	0.3382		0.5054		0.9931

6. EFFICIENCY ANALYSIS
------------------------------
Model Parameters: 379,761

7. FAILURE ANALYSIS
------------------------------
Worst performing images (lowest IoU):
  1. Image 43: IoU = 0.0000
  2. Image 76: IoU = 0.0648
  3. Image 41: IoU = 0.0679
  4. Image 35: IoU = 0.1308
  5. Image 68: IoU = 0.1406

8. SUMMARY
------------------------------
Overall Performance: Poor
Primary Metric (Mean IoU): 0.3230
Balanced Metric (F1-Score): 0.4738
