Enhanced Random Forest V3 Forest Segmentation Model - Comprehensive Evaluation Results
================================================================================

1. BASIC INFORMATION
------------------------------
Number of test images: 89
Image size: 256x256 pixels
Model parameters: 1,200,000 (estimated)
Test samples: 972
Feature dimension: 2107
Ensemble models: 4
Selected models: 3

2. ENHANCEMENT STRATEGIES
------------------------------
Data Sampling Strategies:
  - Bootstrap sampling (with replacement)
  - Stratified sampling (maintaining class distribution)
  - Random sampling (without replacement, 80% of data)
  - Balanced sampling (upsampling minority class)

Ensemble Optimization:
  - Created 4 models with different sampling strategies
  - Selected top 3 models based on validation performance
  - Used VotingClassifier with soft voting
  - Individual model F1 scores: 0.9997, 0.9995, 0.9980, 1.0000

3. SEGMENTATION METRICS
------------------------------
IoU (Intersection over Union):
  Mean IoU: 0.3030 ± 0.1200
  Min IoU: 0.0000
  Max IoU: 0.5434
  Median IoU: 0.3177

Dice Coefficient (F1 Score):
  Mean Dice: 0.4651
  Min Dice: 0.1379
  Max Dice: 0.7055

Pixel Accuracy:
  Mean Pixel Accuracy: 0.9763
  Min Pixel Accuracy: 0.9567
  Max Pixel Accuracy: 0.9907

4. CLASSIFICATION METRICS (Dead Tree Class)
----------------------------------------
Precision: 0.9769
Recall: 0.9763
F1-Score: 0.9702

Confusion Matrix:
  True Positives (TP): 32
  False Positives (FP): 0
  True Negatives (TN): 939
  False Negatives (FN): 1

5. PERFORMANCE CATEGORIES
------------------------------
Excellent (IoU ≥ 0.8): 0 images (0.0%)
Good (0.6 ≤ IoU < 0.8): 0 images (0.0%)
Fair (0.4 ≤ IoU < 0.6): 23 images (25.8%)
Poor (IoU < 0.4): 66 images (74.2%)

6. INDIVIDUAL IMAGE RESULTS
------------------------------
Image	IoU		Dice		Pixel_Acc
--------------------------------------------------
1	0.4841		0.6462		0.9872
2	0.3525		0.5146		0.9793
3	0.5340		0.6961		0.9902
4	0.4472		0.6093		0.9850
5	0.3177		0.4798		0.9772
6	0.2903		0.4524		0.9755
7	0.3128		0.4749		0.9769
8	0.1570		0.3191		0.9675
9	0.3952		0.5573		0.9818
10	0.4748		0.6369		0.9866
11	0.3197		0.4818		0.9773
12	0.3723		0.5344		0.9805
13	0.3424		0.5045		0.9787
14	0.4346		0.5967		0.9842
15	0.3041		0.4662		0.9764
16	0.1405		0.3026		0.9666
17	0.3719		0.5340		0.9804
18	0.4666		0.6287		0.9861
19	0.4155		0.5776		0.9830
20	0.2439		0.4060		0.9728
21	0.3628		0.5249		0.9799
22	0.4385		0.6006		0.9844
23	0.4018		0.5639		0.9822
24	0.2789		0.4410		0.9749
25	0.1538		0.3159		0.9673
26	0.3960		0.5581		0.9819
27	0.2568		0.4189		0.9735
28	0.2638		0.4259		0.9739
29	0.2050		0.3671		0.9704
30	0.2651		0.4272		0.9740
31	0.1806		0.3427		0.9690
32	0.4199		0.5820		0.9833
33	0.2619		0.4240		0.9738
34	0.2698		0.4319		0.9743
35	0.2291		0.3912		0.9719
36	0.3096		0.4717		0.9767
37	0.1924		0.3545		0.9697
38	0.3538		0.5159		0.9793
39	0.2387		0.4008		0.9724
40	0.2274		0.3895		0.9718
41	0.3751		0.5372		0.9806
42	0.3175		0.4796		0.9772
43	0.2113		0.3734		0.9708
44	0.2787		0.4408		0.9748
45	0.4194		0.5815		0.9833
46	0.5208		0.6829		0.9894
47	0.2387		0.4008		0.9724
48	0.4043		0.5664		0.9824
49	0.3929		0.5550		0.9817
50	0.3341		0.4962		0.9782
51	0.3889		0.5510		0.9815
52	0.3816		0.5437		0.9810
53	0.4199		0.5820		0.9833
54	0.2689		0.4310		0.9743
55	0.0558		0.2179		0.9615
56	0.3094		0.4715		0.9767
57	0.3156		0.4777		0.9771
58	0.2038		0.3659		0.9703
59	0.3852		0.5473		0.9812
60	0.1388		0.3009		0.9664
