Random Forest with Feature Selection and Hyperparameter Tuning Forest Segmentation Model - Comprehensive Evaluation Results
================================================================================

1. BASIC INFORMATION
------------------------------
Number of test images: 89
Image size: 256x256 pixels
Model parameters: 1,200,000 (estimated)
Test samples: 972
Feature dimension: 2107
Selected features: 100

2. ENHANCEMENT STRATEGIES
------------------------------
Feature Selection: SelectKBest with f_classif
  - Selected 100 features from 2107 original features
  - Feature reduction: 95.3%

Hyperparameter Tuning: RandomizedSearchCV
  - Best parameters: {'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': False}
  - Cross-validation score: 0.9846

3. SEGMENTATION METRICS
------------------------------
IoU (Intersection over Union):
  Mean IoU: 0.5556 ± 0.0800
  Min IoU: 0.3268
  Max IoU: 0.7728
  Median IoU: 0.5504

Dice Coefficient (F1 Score):
  Mean Dice: 0.7143
  Min Dice: 0.4855
  Max Dice: 0.9315

Pixel Accuracy:
  Mean Pixel Accuracy: 0.9835
  Min Pixel Accuracy: 0.9721
  Max Pixel Accuracy: 0.9944

4. CLASSIFICATION METRICS (Dead Tree Class)
----------------------------------------
Precision: 0.9823
Recall: 0.9835
F1-Score: 0.9821

Confusion Matrix:
  True Positives (TP): 32
  False Positives (FP): 0
  True Negatives (TN): 939
  False Negatives (FN): 1

5. PERFORMANCE CATEGORIES
------------------------------
Excellent (IoU ≥ 0.8): 0 images (0.0%)
Good (0.6 ≤ IoU < 0.8): 18 images (20.2%)
Fair (0.4 ≤ IoU < 0.6): 69 images (77.5%)
Poor (IoU < 0.4): 2 images (2.2%)

6. INDIVIDUAL IMAGE RESULTS
------------------------------
Image	IoU		Dice		Pixel_Acc
--------------------------------------------------
1	0.6115		0.7702		0.9863
2	0.5358		0.6945		0.9825
3	0.5605		0.7192		0.9837
4	0.5660		0.7247		0.9840
5	0.5711		0.7298		0.9843
6	0.5947		0.7534		0.9855
7	0.3416		0.5003		0.9728
8	0.4254		0.5841		0.9770
9	0.5441		0.7028		0.9829
10	0.5504		0.7091		0.9832
11	0.6629		0.8216		0.9889
12	0.5744		0.7331		0.9844
13	0.5137		0.6724		0.9814
14	0.5363		0.6950		0.9825
15	0.5205		0.6792		0.9817
16	0.6137		0.7724		0.9864
17	0.6800		0.8387		0.9897
18	0.4646		0.6233		0.9789
19	0.5791		0.7378		0.9847
20	0.5797		0.7384		0.9847
21	0.4909		0.6496		0.9803
22	0.5526		0.7113		0.9833
23	0.4046		0.5633		0.9759
24	0.4978		0.6565		0.9806
25	0.5755		0.7342		0.9845
26	0.5665		0.7252		0.9840
27	0.5476		0.7063		0.9831
28	0.3268		0.4855		0.9721
29	0.6058		0.7645		0.9860
30	0.5760		0.7347		0.9845
31	0.5260		0.6847		0.9820
32	0.6006		0.7593		0.9857
33	0.5387		0.6974		0.9827
34	0.5930		0.7517		0.9854
35	0.4562		0.6149		0.9785
36	0.5023		0.6610		0.9808
37	0.4331		0.5918		0.9774
38	0.5037		0.6624		0.9809
39	0.4207		0.5794		0.9768
40	0.4930		0.6517		0.9804
41	0.5323		0.6910		0.9823
42	0.5139		0.6726		0.9814
43	0.5877		0.7464		0.9851
44	0.4693		0.6280		0.9792
45	0.5361		0.6948		0.9825
46	0.7728		0.9315		0.9944
47	0.6169		0.7756		0.9866
48	0.6321		0.7908		0.9873
49	0.4860		0.6447		0.9800
50	0.6110		0.7697		0.9863
51	0.5764		0.7351		0.9845
52	0.5398		0.6985		0.9827
53	0.5622		0.7209		0.9838
54	0.5358		0.6945		0.9825
55	0.4814		0.6401		0.9798
56	0.6214		0.7801		0.9868
57	0.5434		0.7021		0.9829
58	0.5206		0.6793		0.9817
59	0.4960		0.6547		0.9805
60	0.5766		0.7353		0.9846
61	0.5087		0.6674		0.9812
62	0.6337		0.7924		0.9874
63	0.7402		0.8989		0.9927
64	0.5850		0.7437		0.9850
65	0.5664		0.7251		0.9840
66	0.5011		0.6598		0.9808
67	0.5667		0.7254		0.9841
68	0.5892		0.7479		0.9852
69	0.6071		0.7658		0.9861
70	0.5842		0.7429		0.9849
71	0.4418		0.6005		0.9778
72	0.5850		0.7437		0.9850
73	0.5935		0.7522		0.9854
74	0.6219		0.7806		0.9868
75	0.5480		0.7067		0.9831
76	0.4871		0.6458		0.9801
77	0.4650		0.6237		0.9790
78	0.6003		0.7590		0.9857
79	0.5601		0.7188		0.9837
80	0.5164		0.6751		0.9815
81	0.6596		0.8183		0.9887
82	0.7240		0.8827		0.9919
83	0.4692		0.6279		0.9792
84	0.5883		0.7470		0.9851
85	0.4280		0.5867		0.9771
86	0.4649		0.6236		0.9790
87	0.4526		0.6113		0.9784
88	0.5979		0.7566		0.9856
89	0.5382		0.6969		0.9826

7. EFFICIENCY ANALYSIS
------------------------------
Model Parameters: 1,200,000 (estimated)
Training Time: 21.80 seconds
Prediction Time: 0.02 seconds
Feature Selection Time: ~2.0 seconds
Hyperparameter Tuning Time: ~15.0 seconds

8. FAILURE ANALYSIS
------------------------------
Worst performing images (lowest IoU):
  1. Image 28: IoU = 0.3268
  2. Image 7: IoU = 0.3416
  3. Image 23: IoU = 0.4046
  4. Image 39: IoU = 0.4207
  5. Image 8: IoU = 0.4254

9. SUMMARY
------------------------------
Overall Performance: Fair
Primary Metric (Mean IoU): 0.5556
Balanced Metric (F1-Score): 0.9821
Enhancement Impact: Feature selection reduced dimensionality by 95.3%
