UNet++ Forest Segmentation Model - Comprehensive Evaluation Results
================================================================================

1. BASIC INFORMATION
------------------------------
Number of test images: 89
Image size: 256x256 pixels
Model parameters: 34,147,461
Deep supervision: True

2. SEGMENTATION METRICS
------------------------------
IoU (Intersection over Union):
  Mean IoU: 0.3918 ± 0.1502
  Min IoU: 0.0000
  Max IoU: 0.7770
  Median IoU: 0.4026

Dice Coefficient (F1 Score):
  Mean Dice: 0.5450
  Min Dice: 0.0000
  Max Dice: 0.8745

Pixel Accuracy:
  Mean Pixel Accuracy: 0.9844
  Min Pixel Accuracy: 0.8798
  Max Pixel Accuracy: 0.9994

3. CLASSIFICATION METRICS (Dead Tree Class)
----------------------------------------
Precision: 0.6099
Recall: 0.5224
F1-Score: 0.5627

Confusion Matrix:
  True Positives (TP): 58,468
  False Positives (FP): 37,400
  True Negatives (TN): 5,683,376
  False Negatives (FN): 53,460

4. PERFORMANCE CATEGORIES
------------------------------
Excellent (IoU ≥ 0.8): 0 images (0.0%)
Good (0.6 ≤ IoU < 0.8): 6 images (6.7%)
Fair (0.4 ≤ IoU < 0.6): 39 images (43.8%)
Poor (IoU < 0.4): 44 images (49.4%)

5. INDIVIDUAL IMAGE RESULTS
------------------------------
Image	IoU		Dice		Pixel_Acc
--------------------------------------------------
1	0.3502		0.5187		0.9878
2	0.5043		0.6705		0.9956
3	0.3063		0.4689		0.9860
4	0.5846		0.7379		0.9753
5	0.3671		0.5370		0.9962
6	0.3573		0.5265		0.9794
7	0.2910		0.4508		0.9910
8	0.3113		0.4748		0.9906
9	0.2978		0.4589		0.9932
10	0.4626		0.6326		0.9959
11	0.6501		0.7880		0.9811
12	0.3474		0.5157		0.9833
13	0.6227		0.7675		0.9890
14	0.2970		0.4580		0.9924
15	0.4940		0.6613		0.9878
16	0.1616		0.2782		0.9698
17	0.5246		0.6882		0.9171
18	0.4208		0.5923		0.9932
19	0.4046		0.5762		0.9945
20	0.3888		0.5599		0.9860
21	0.6599		0.7951		0.9985
22	0.3221		0.4873		0.9902
23	0.3750		0.5455		0.9953
24	0.4846		0.6528		0.9921
25	0.5641		0.7213		0.9863
26	0.4118		0.5834		0.9868
27	0.5643		0.7214		0.9958
28	0.2900		0.4497		0.9828
29	0.2754		0.4319		0.9801
30	0.3366		0.5037		0.9969
31	0.5328		0.6952		0.9842
32	0.2219		0.3632		0.9833
33	0.7770		0.8745		0.9981
34	0.4135		0.5850		0.9963
35	0.3665		0.5364		0.9866
36	0.2559		0.4076		0.9722
37	0.4298		0.6012		0.9940
38	0.4111		0.5827		0.9904
39	0.4738		0.6430		0.9972
40	0.5463		0.7066		0.9788
41	0.0841		0.1551		0.9968
42	0.3629		0.5326		0.9900
43	0.0000		0.0000		0.9724
44	0.3211		0.4861		0.9938
45	0.5314		0.6940		0.9915
46	0.3114		0.4750		0.9802
47	0.2337		0.3788		0.9769
48	0.1031		0.1870		0.9908
49	0.0000		0.0000		0.9990
50	0.5291		0.6921		0.9942
51	0.3387		0.5060		0.9875
52	0.5906		0.7426		0.9961
53	0.4768		0.6457		0.9936
54	0.4913		0.6589		0.9866
55	0.6606		0.7956		0.9989
56	0.3014		0.4632		0.9642
57	0.5455		0.7059		0.9968
58	0.3698		0.5399		0.9940
59	0.4433		0.6143		0.9873
60	0.4087		0.5802		0.9834
61	0.4026		0.5741		0.9831
62	0.4376		0.6088		0.9907
63	0.0983		0.1791		0.9736
64	0.4135		0.5850		0.9904
65	0.3410		0.5086		0.9812
66	0.4544		0.6249		0.9747
67	0.4855		0.6537		0.9878
68	0.1117		0.2009		0.9621
69	0.4036		0.5751		0.9889
70	0.3818		0.5526		0.9949
71	0.3260		0.4917		0.9790
72	0.3635		0.5332		0.9941
73	0.3547		0.5237		0.9817
74	0.6639		0.7980		0.9994
75	0.5079		0.6737		0.9943
76	0.0840		0.1549		0.8798
77	0.4117		0.5833		0.9920
78	0.5437		0.7044		0.9722
79	0.4227		0.5942		0.9688
80	0.3827		0.5535		0.9481
81	0.4865		0.6545		0.9263
82	0.5391		0.7006		0.9918
83	0.4710		0.6403		0.9808
84	0.4866		0.6547		0.9933
85	0.2632		0.4167		0.9727
86	0.1392		0.2444		0.9903
87	0.3386		0.5059		0.9936
88	0.2196		0.3601		0.9886
89	0.3790		0.5497		0.9938

6. EFFICIENCY ANALYSIS
------------------------------
Model Parameters: 34,147,461

7. FAILURE ANALYSIS
------------------------------
Worst performing images (lowest IoU):
  1. Image 49: IoU = 0.0000
  2. Image 43: IoU = 0.0000
  3. Image 76: IoU = 0.0840
  4. Image 41: IoU = 0.0841
  5. Image 63: IoU = 0.0983

8. SUMMARY
------------------------------
Overall Performance: Poor
Primary Metric (Mean IoU): 0.3918
Balanced Metric (F1-Score): 0.5627
