UNet++ Forest Segmentation Model with Data Augmentation - Comprehensive Evaluation Results
================================================================================

1. BASIC INFORMATION
------------------------------
Number of test images: 89
Image size: 256x256 pixels
Model parameters: 34,147,461
Deep supervision: True
Data augmentation: True
Average inference time: 0.1668 seconds per image

2. SEGMENTATION METRICS
------------------------------
IoU (Intersection over Union):
  Mean IoU: 0.2211 ± 0.1752
  Min IoU: 0.0000
  Max IoU: 0.7216
  Median IoU: 0.2068

Dice Coefficient (F1 Score):
  Mean Dice: 0.3297
  Min Dice: 0.0000
  Max Dice: 0.8383

Pixel Accuracy:
  Mean Pixel Accuracy: 0.9834
  Min Pixel Accuracy: 0.8729
  Max Pixel Accuracy: 0.9997

3. CLASSIFICATION METRICS (Dead Tree Class)
----------------------------------------
Precision: 0.7256
Recall: 0.2181
F1-Score: 0.3354

Confusion Matrix:
  True Positives (TP): 24,415
  False Positives (FP): 9,235
  True Negatives (TN): 5,711,541
  False Negatives (FN): 87,513

4. PERFORMANCE CATEGORIES
------------------------------
Excellent (IoU ≥ 0.8): 0 images (0.0%)
Good (0.6 ≤ IoU < 0.8): 2 images (2.2%)
Fair (0.4 ≤ IoU < 0.6): 15 images (16.9%)
Poor (IoU < 0.4): 72 images (80.9%)

5. INDIVIDUAL IMAGE RESULTS
------------------------------
Image	IoU		Dice		Pixel_Acc
--------------------------------------------------
1	0.3457		0.5138		0.9898
2	0.3396		0.5070		0.9952
3	0.0432		0.0828		0.9888
4	0.4163		0.5878		0.9695
5	0.1295		0.2293		0.9956
6	0.0150		0.0295		0.9729
7	0.0713		0.1332		0.9891
8	0.0177		0.0348		0.9873
9	0.2028		0.3372		0.9948
10	0.3252		0.4908		0.9949
11	0.3412		0.5089		0.9691
12	0.0701		0.1311		0.9858
13	0.5221		0.6860		0.9881
14	0.0971		0.1770		0.9915
15	0.4595		0.6297		0.9897
16	0.0945		0.1727		0.9677
17	0.0794		0.1471		0.9006
18	0.3470		0.5152		0.9947
19	0.0000		0.0000		0.9917
20	0.0985		0.1793		0.9810
21	0.2372		0.3834		0.9964
22	0.0466		0.0891		0.9897
23	0.0619		0.1165		0.9931
24	0.2579		0.4101		0.9893
25	0.5215		0.6855		0.9874
26	0.1074		0.1940		0.9824
27	0.4885		0.6563		0.9956
28	0.3034		0.4655		0.9892
29	0.0850		0.1567		0.9752
30	0.4551		0.6256		0.9987
31	0.4076		0.5792		0.9846
32	0.0000		0.0000		0.9848
33	0.4805		0.6491		0.9957
34	0.1462		0.2552		0.9967
35	0.0070		0.0138		0.9804
36	0.2285		0.3721		0.9894
37	0.0000		0.0000		0.9928
38	0.2107		0.3481		0.9903
39	0.2660		0.4202		0.9967
40	0.0471		0.0900		0.9636
41	0.0000		0.0000		0.9968
42	0.0413		0.0793		0.9858
43	0.0000		0.0000		0.9724
44	0.4333		0.6047		0.9966
45	0.3970		0.5684		0.9901
46	0.2474		0.3967		0.9820
47	0.2020		0.3361		0.9793
48	0.0588		0.1111		0.9980
49	0.0000		0.0000		0.9997
50	0.0955		0.1743		0.9915
51	0.2414		0.3889		0.9862
52	0.0051		0.0101		0.9910
53	0.4711		0.6405		0.9944
54	0.4077		0.5792		0.9865
55	0.7216		0.8383		0.9992
56	0.3652		0.5350		0.9754
57	0.2139		0.3524		0.9957
58	0.3449		0.5130		0.9943
59	0.2647		0.4186		0.9834
60	0.0381		0.0735		0.9796
61	0.0444		0.0850		0.9754
62	0.4069		0.5785		0.9911
63	0.0815		0.1506		0.9738
64	0.3173		0.4817		0.9907
65	0.2663		0.4206		0.9830
66	0.3660		0.5359		0.9751
67	0.3338		0.5005		0.9856
68	0.0901		0.1653		0.9619
69	0.1755		0.2986		0.9867
70	0.3176		0.4820		0.9947
71	0.0963		0.1756		0.9764
72	0.1491		0.2595		0.9937
73	0.0410		0.0787		0.9832
74	0.6983		0.8223		0.9995
75	0.0270		0.0526		0.9901
76	0.0053		0.0105		0.8729
77	0.0668		0.1252		0.9906
78	0.5174		0.6819		0.9784
79	0.1869		0.3149		0.9720
80	0.2753		0.4317		0.9534
81	0.1536		0.2663		0.8961
82	0.4990		0.6658		0.9921
83	0.1172		0.2099		0.9755
84	0.4450		0.6159		0.9929
85	0.2068		0.3428		0.9774
86	0.0381		0.0734		0.9923
87	0.2577		0.4099		0.9931
88	0.2373		0.3836		0.9936
89	0.3358		0.5028		0.9945

6. EFFICIENCY ANALYSIS
------------------------------
Model Parameters: 34,147,461
Inference Time: 0.1668 seconds per image
Real-time Performance: ✓ (< 2s requirement)

7. FAILURE ANALYSIS
------------------------------
Worst performing images (lowest IoU):
  1. Image 32: IoU = 0.0000
  2. Image 19: IoU = 0.0000
  3. Image 41: IoU = 0.0000
  4. Image 37: IoU = 0.0000
  5. Image 49: IoU = 0.0000

8. SUMMARY
------------------------------
Overall Performance: Poor
Primary Metric (Mean IoU): 0.2211
Balanced Metric (F1-Score): 0.3354
Efficiency: Satisfactory
