UNet+ASPP Forest Segmentation Model - Comprehensive Evaluation Results
================================================================================

1. BASIC INFORMATION
------------------------------
Number of test images: 89
Image size: 256x256 pixels
Model parameters: 35,778,817

2. SEGMENTATION METRICS
------------------------------
IoU (Intersection over Union):
  Mean IoU: 0.3662 ± 0.1787
  Min IoU: 0.0177
  Max IoU: 1.0000
  Median IoU: 0.3531

Dice Coefficient (F1 Score):
  Mean Dice: 0.5116
  Min Dice: 0.0347
  Max Dice: 1.0000

Pixel Accuracy:
  Mean Pixel Accuracy: 0.9854
  Min Pixel Accuracy: 0.8802
  Max Pixel Accuracy: 1.0000

3. CLASSIFICATION METRICS (Dead Tree Class)
----------------------------------------
Precision: 0.7259
Recall: 0.3858
F1-Score: 0.5039

Confusion Matrix:
  True Positives (TP): 43,186
  False Positives (FP): 16,308
  True Negatives (TN): 5,704,468
  False Negatives (FN): 68,742

4. PERFORMANCE CATEGORIES
------------------------------
Excellent (IoU ≥ 0.8): 2 images (2.2%)
Good (0.6 ≤ IoU < 0.8): 6 images (6.7%)
Fair (0.4 ≤ IoU < 0.6): 25 images (28.1%)
Poor (IoU < 0.4): 56 images (62.9%)

5. INDIVIDUAL IMAGE RESULTS
------------------------------
Image	IoU		Dice		Pixel_Acc
--------------------------------------------------
1	0.2718		0.4274		0.9892
2	0.4960		0.6631		0.9961
3	0.2905		0.4502		0.9896
4	0.5365		0.6983		0.9762
5	0.4055		0.5770		0.9970
6	0.4353		0.6066		0.9829
7	0.2392		0.3861		0.9898
8	0.2073		0.3435		0.9898
9	0.3134		0.4772		0.9948
10	0.2576		0.4097		0.9944
11	0.6910		0.8173		0.9834
12	0.3508		0.5194		0.9870
13	0.6276		0.7712		0.9900
14	0.2311		0.3755		0.9922
15	0.4342		0.6055		0.9888
16	0.3502		0.5188		0.9760
17	0.4629		0.6329		0.9291
18	0.3939		0.5652		0.9936
19	0.2698		0.4249		0.9935
20	0.4538		0.6243		0.9862
21	0.6250		0.7692		0.9984
22	0.2662		0.4205		0.9903
23	0.3750		0.5455		0.9946
24	0.3939		0.5652		0.9909
25	0.5760		0.7309		0.9894
26	0.3102		0.4735		0.9850
27	0.4889		0.6568		0.9954
28	0.2285		0.3720		0.9902
29	0.2553		0.4068		0.9797
30	0.4340		0.6053		0.9980
31	0.5371		0.6989		0.9855
32	0.1245		0.2215		0.9852
33	0.8450		0.9160		0.9989
34	0.5105		0.6760		0.9968
35	0.0570		0.1079		0.9811
36	0.3715		0.5417		0.9874
37	0.4167		0.5882		0.9947
38	0.3771		0.5476		0.9891
39	0.5036		0.6699		0.9979
40	0.4972		0.6641		0.9783
41	0.2097		0.3467		0.9960
42	0.3531		0.5219		0.9902
43	0.0177		0.0347		0.9712
44	0.4349		0.6062		0.9975
45	0.3321		0.4986		0.9892
46	0.1748		0.2976		0.9827
47	0.2748		0.4312		0.9881
48	0.1401		0.2457		0.9939
49	1.0000		1.0000		1.0000
50	0.4938		0.6611		0.9944
51	0.1485		0.2586		0.9846
52	0.3974		0.5688		0.9944
53	0.4319		0.6033		0.9952
54	0.4606		0.6307		0.9869
55	0.7461		0.8546		0.9993
56	0.3389		0.5062		0.9704
57	0.6781		0.8082		0.9980
58	0.4749		0.6440		0.9960
59	0.3377		0.5049		0.9853
60	0.2834		0.4417		0.9822
61	0.2583		0.4106		0.9803
62	0.3464		0.5146		0.9914
63	0.0236		0.0461		0.9722
64	0.3857		0.5567		0.9906
65	0.1141		0.2048		0.9800
66	0.4081		0.5796		0.9788
67	0.3407		0.5082		0.9859
68	0.0671		0.1258		0.9610
69	0.5072		0.6730		0.9916
70	0.3589		0.5282		0.9949
71	0.3399		0.5074		0.9816
72	0.3771		0.5477		0.9950
73	0.3956		0.5669		0.9875
74	0.7238		0.8398		0.9996
75	0.5439		0.7046		0.9948
76	0.0626		0.1178		0.8802
77	0.2329		0.3779		0.9901
78	0.5681		0.7245		0.9768
79	0.4764		0.6453		0.9799
80	0.3151		0.4792		0.9560
81	0.1742		0.2966		0.8988
82	0.1706		0.2915		0.9888
83	0.3766		0.5471		0.9817
84	0.3501		0.5187		0.9931
85	0.2224		0.3639		0.9780
86	0.1145		0.2055		0.9926
87	0.1414		0.2478		0.9920
88	0.3043		0.4667		0.9939
89	0.2505		0.4006		0.9937

6. EFFICIENCY ANALYSIS
------------------------------
Model Parameters: 35,778,817

7. FAILURE ANALYSIS
------------------------------
Worst performing images (lowest IoU):
  1. Image 43: IoU = 0.0177
  2. Image 63: IoU = 0.0236
  3. Image 35: IoU = 0.0570
  4. Image 76: IoU = 0.0626
  5. Image 68: IoU = 0.0671

8. SUMMARY
------------------------------
Overall Performance: Poor
Primary Metric (Mean IoU): 0.3662
Balanced Metric (F1-Score): 0.5039
